Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
200,91950,124,290,414,552,1192,2158,5.746061168,13.43836886,19.18443003,25.57924004,55.23632994,450700
201,91962,18,32,50,78,148,276,6.52173913,11.5942029,18.11594203,28.26086957,53.62318841,433300
202,91963,3,12,15,25,117,157,1.910828025,7.643312102,9.554140127,15.92356688,74.52229299,350000
203,91977,48,87,135,127,181,443,10.83521445,19.63882619,30.47404063,28.66817156,40.85778781,493000
204,91978,52,125,177,106,107,390,13.33333333,32.05128205,45.38461538,27.17948718,27.43589744,454100
205,92004,6,9,15,37,71,123,4.87804878,7.317073171,12.19512195,30.08130081,57.72357724,320600
206,92019,446,568,1014,805,848,2667,16.72290964,21.29733783,38.02024747,30.18372703,31.7960255,576700
207,92020,437,424,861,448,400,1709,25.57050907,24.80983031,50.38033938,26.21416033,23.40550029,576200
208,92021,19,43,62,78,185,325,5.846153846,13.23076923,19.07692308,24,56.92307692,469100
209,92024,87,84,171,64,29,264,32.95454545,31.81818182,64.77272727,24.24242424,10.98484848,1063400
210,92025,28,62,90,90,218,398,7.035175879,15.57788945,22.61306533,22.61306533,54.77386935,558600
211,92026,19,51,70,87,238,395,4.810126582,12.91139241,17.72151899,22.02531646,60.25316456,539900
212,92027,274,407,681,501,492,1674,16.36798088,24.3130227,40.68100358,29.92831541,29.390681,493300
213,92028,41,69,110,88,151,349,11.747851,19.77077364,31.51862464,25.21489971,43.26647564,627900
214,92029,19,46,65,62,57,184,10.32608696,25,35.32608696,33.69565217,30.97826087,690900
215,92036,8,11,19,16,27,62,12.90322581,17.74193548,30.64516129,25.80645161,43.5483871,425900
216,92040,20,30,50,78,155,283,7.067137809,10.60070671,17.66784452,27.56183746,54.77031802,540200
217,92054,9,46,55,52,127,234,3.846153846,19.65811966,23.5042735,22.22222222,54.27350427,648800
218,92056,0,7,7,15,94,116,0,6.034482759,6.034482759,12.93103448,81.03448276,583700
219,92057,161,188,349,235,267,851,18.91891892,22.09165687,41.01057579,27.61457109,31.37485311,530600
220,92061,0,5,5,23,73,101,0,4.95049505,4.95049505,22.77227723,72.27722772,611500
221,92064,296,328,624,530,669,1823,16.23697202,17.99232035,34.22929238,29.07295666,36.69775096,767500
222,92065,25,72,97,80,115,292,8.561643836,24.65753425,33.21917808,27.39726027,39.38356164,593100
223,92067,226,94,320,58,35,413,54.72154964,22.76029056,77.48184019,14.04358354,8.474576271,2000000
224,92070,7,8,15,1,1,17,41.17647059,47.05882353,88.23529412,5.882352941,5.882352941,335700
225,92071,741,973,1714,1059,1044,3817,19.41315169,25.49122347,44.90437516,27.74430181,27.35132303,524100
226,92078,1,5,6,8,6,20,5,25,30,40,30,665300
227,92081,41,88,129,95,92,316,12.97468354,27.84810127,40.82278481,30.06329114,29.11392405,599400
228,92082,73,184,257,388,929,1574,4.637865311,11.68996188,16.32782719,24.65057179,59.02160102,620700
229,92083,0,4,4,2,50,56,0,7.142857143,7.142857143,3.571428571,89.28571429,467600
