Index,Zip Code,Students Standard Exceeded_english2021,Students Standard Met_english2021,Students Standard Met and Above_english2021,Students Standard Nearly Met_english2021,Students Standard Not Met_english2021,Students with Scores_english2021,Percentage Standard Exceeded_english2021,Percentage Standard Met_english2021,Percentage Standard Met and Above_english2021,Percentage Standard Nearly Met_english2021,Percentage Standard Not Met_english2021,Median Mortgage
72,90605,218,185,403,92,72,567,38.44797178,32.62786596,71.07583774,16.22574956,12.6984127,556000
73,90606,136,272,408,223,327,958,14.19624217,28.39248434,42.58872651,23.2776618,34.13361169,509600
74,90620,62,61,123,57,76,256,24.21875,23.828125,48.046875,22.265625,29.6875,622700
75,90621,64,109,173,94,82,349,18.33810888,31.23209169,49.57020057,26.93409742,23.49570201,643200
76,90623,378,465,843,224,190,1257,30.07159905,36.9928401,67.06443914,17.82020684,15.11535402,739200
77,90630,1016,755,1771,291,221,2283,44.50284713,33.07052124,77.57336837,12.74638633,9.680245291,700100
78,90631,390,453,843,371,377,1591,24.51288498,28.47265871,52.98554368,23.3186675,23.69578881,628900
79,90638,47,12,59,1,0,60,78.33333333,20,98.33333333,1.666666667,0,630100
80,90640,506,1070,1576,1166,1822,4564,11.08676599,23.44434706,34.53111306,25.54776512,39.92112182,558600
81,90650,113,130,243,99,79,421,26.84085511,30.87885986,57.71971496,23.51543943,18.76484561,487800
82,90660,129,207,336,139,162,637,20.25117739,32.49607535,52.74725275,21.82103611,25.43171115,490300
83,90670,157,186,343,144,120,607,25.86490939,30.64250412,56.50741351,23.723229,19.7693575,492100
84,90701,13,12,25,3,2,30,43.33333333,40,83.33333333,10,6.666666667,635000
85,90703,317,85,402,10,2,414,76.57004831,20.53140097,97.10144928,2.415458937,0.483091787,762700
86,90704,16,30,46,40,53,139,11.51079137,21.58273381,33.09352518,28.77697842,38.1294964,863800
87,90706,33,19,52,2,2,56,58.92857143,33.92857143,92.85714286,3.571428571,3.571428571,535300
88,90710,101,159,260,88,120,468,21.58119658,33.97435897,55.55555556,18.8034188,25.64102564,523400
89,90712,117,214,331,207,210,748,15.64171123,28.60962567,44.2513369,27.67379679,28.07486631,622800
90,90713,222,266,488,167,133,788,28.17258883,33.75634518,61.92893401,21.1928934,16.87817259,638600
91,90715,8,4,12,1,2,15,53.33333333,26.66666667,80,6.666666667,13.33333333,555400
92,90716,4,3,7,3,2,12,33.33333333,25,58.33333333,25,16.66666667,442000
93,90720,395,221,616,74,36,726,54.4077135,30.44077135,84.84848485,10.19283747,4.958677686,1004200
94,90723,534,1399,1933,1541,2210,5684,9.3947924,24.61294863,34.00774103,27.1111893,38.88106967,411900
95,90731,66,106,172,66,45,283,23.32155477,37.45583039,60.77738516,23.32155477,15.90106007,657700
96,90744,149,176,325,128,160,613,24.30668842,28.71125612,53.01794454,20.88091354,26.10114192,471000
97,90745,87,148,235,126,115,476,18.27731092,31.09243697,49.3697479,26.47058824,24.15966387,516000
98,90746,13,17,30,6,7,43,30.23255814,39.53488372,69.76744186,13.95348837,16.27906977,585600
99,90755,61,167,228,198,254,680,8.970588235,24.55882353,33.52941176,29.11764706,37.35294118,553100
100,90802,74,186,260,195,346,801,9.238451935,23.22097378,32.45942572,24.34456929,43.19600499,460300
101,90803,265,250,515,119,88,722,36.70360111,34.62603878,71.32963989,16.48199446,12.18836565,943000
102,90804,306,472,778,359,389,1526,20.05242464,30.93053735,50.98296199,23.52555701,25.491481,541000
103,90805,164,574,738,651,1105,2494,6.575781877,23.01523657,29.59101844,26.10264635,44.3063352,469100
104,90806,22,73,95,86,105,286,7.692307692,25.52447552,33.21678322,30.06993007,36.71328671,568400
105,90807,310,427,737,325,278,1340,23.13432836,31.86567164,55,24.25373134,20.74626866,661100
106,90808,706,992,1698,563,388,2649,26.65156663,37.44809362,64.09966025,21.25330313,14.64703662,708300
107,90810,133,272,405,306,426,1137,11.69744943,23.92260334,35.62005277,26.91292876,37.46701847,464500
108,90813,355,382,737,325,388,1450,24.48275862,26.34482759,50.82758621,22.4137931,26.75862069,430500
109,90815,547,706,1253,292,236,1781,30.71308254,39.64065132,70.35373386,16.39528355,13.25098259,701600
110,91001,19,39,58,37,59,154,12.33766234,25.32467532,37.66233766,24.02597403,38.31168831,887100
111,91006,3,3,6,2,7,15,20,20,40,13.33333333,46.66666667,1074000
112,91007,288,165,453,86,86,625,46.08,26.4,72.48,13.76,13.76,1056600
113,91008,144,197,341,133,131,605,23.80165289,32.56198347,56.36363636,21.98347107,21.65289256,1414100
114,91010,236,321,557,281,384,1222,19.31260229,26.26841244,45.58101473,22.99509002,31.42389525,560900
115,91016,485,584,1069,509,624,2202,22.02543143,26.52134423,48.54677566,23.11534968,28.33787466,707400
116,91042,58,61,119,20,19,158,36.70886076,38.60759494,75.3164557,12.65822785,12.02531646,617400
117,91101,1,2,3,10,5,18,5.555555556,11.11111111,16.66666667,55.55555556,27.77777778,615200
118,91103,5,6,11,2,0,13,38.46153846,46.15384615,84.61538462,15.38461538,0,780200
119,91104,59,56,115,55,46,216,27.31481481,25.92592593,53.24074074,25.46296296,21.2962963,836500
120,91106,23,36,59,17,30,106,21.69811321,33.96226415,55.66037736,16.03773585,28.30188679,811200
121,91107,91,121,212,60,43,315,28.88888889,38.41269841,67.3015873,19.04761905,13.65079365,913700
122,91108,780,380,1160,153,88,1401,55.6745182,27.12348323,82.79800143,10.92077088,6.281227695,2000000
123,91201,10,8,18,4,4,26,38.46153846,30.76923077,69.23076923,15.38461538,15.38461538,916000
124,91202,80,92,172,88,88,348,22.98850575,26.43678161,49.42528736,25.28735632,25.28735632,876700
125,91205,79,114,193,84,94,371,21.29380054,30.7277628,52.02156334,22.64150943,25.33692722,677200
126,91206,0,8,8,22,37,67,0,11.94029851,11.94029851,32.8358209,55.2238806,910500
127,91214,445,264,709,91,43,843,52.78766311,31.31672598,84.10438909,10.79478055,5.100830368,851700
128,91301,441,414,855,220,153,1228,35.91205212,33.71335505,69.62540717,17.91530945,12.45928339,871000
129,91302,515,639,1154,298,165,1617,31.84910328,39.51762523,71.36672851,18.42918986,10.20408163,1341400
130,91303,38,58,96,45,56,197,19.2893401,29.44162437,48.73096447,22.84263959,28.42639594,536400
131,91311,119,157,276,106,64,446,26.68161435,35.20179372,61.88340807,23.76681614,14.34977578,679000
132,91320,73,40,113,21,14,148,49.32432432,27.02702703,76.35135135,14.18918919,9.459459459,755800
