zip_code,district,postal_area_name,percent_of_zip_code_population_in_district
92582,25,San Jacinto,99.79207032
92582,41,San Jacinto,0.207929682
92583,25,San Jacinto,98.74257369
92583,41,San Jacinto,1.257426314
92584,41,Menifee,100
92585,39,Menifee,0.156708322
92585,41,Menifee,99.84329168
92586,39,Menifee,0
92586,41,Menifee,100
92587,39,Menifee,0.102686976
92587,41,Menifee,99.89731302
92590,48,Temecula,100
92591,48,Temecula,100
92592,41,Temecula,0.605718585
92592,48,Temecula,99.39428141
92595,41,Wildomar,100
92596,25,Winchester,8.809240372
92596,41,Winchester,90.85936746
92596,48,Winchester,0.331392169
92602,40,Irvine,0
92602,47,Irvine,100
92603,47,Irvine,100
92604,47,Irvine,100
92606,40,Irvine,0
92606,47,Irvine,100
92610,40,Foothill Ranch,100
92612,47,Irvine,100
92614,47,Irvine,100
