zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
92604,46478.0,112543.0,2541,41.6,793100.0,2828.0,28330,15602,429,29,9812,3737,1449,128,33.6879,-117.7889,Irvine,Orange
92646,50722.0,102473.0,3281,47.0,777300.0,2733.0,56568,41792,732,171,7883,7923,3612,202,33.66525,-117.96755,Huntington Beach,Orange
92662,104040.0,127443.0,37,62.3,2000001.0,4001.0,2710,2638,0,0,50,37,22,0,33.605470000000004,-117.89218000000001,Newport Beach,Orange
92677,62364.0,119322.0,4311,46.4,863600.0,3193.0,65508,47706,1234,28,7331,10332,5423,222,33.527770000000004,-117.70523,Laguna Niguel,Orange
92804,25480.0,66936.0,14189,35.7,574800.0,2370.0,88173,48302,2881,573,21662,41084,6060,1119,33.81801,-117.97516999999999,Anaheim,Orange
92821,43425.0,96700.0,2529,39.8,664900.0,2712.0,39140,25276,742,261,8250,12453,3172,230,33.929970000000004,-117.86986,Brea,Orange
92860,35120.0,106065.0,1562,41.6,559700.0,2686.0,27219,20536,1144,113,885,9251,1662,83,33.9262,-117.54913,Norco,Riverside
92866,39988.0,75562.0,2765,34.9,689100.0,2753.0,15428,11819,83,64,991,5392,1028,255,33.78453,-117.84478999999999,Orange,Orange
92879,28385.0,71817.0,6542,34.6,431400.0,2256.0,49481,24083,3401,507,5519,28712,3219,469,33.87979,-117.5357,Corona,Riverside
92337,25410.0,84649.0,3762,30.5,373600.0,2107.0,39600,13091,4248,514,2443,27546,4666,286,34.04967,-117.47145,Fontana,San Bernardino
92342,29757.0,75045.0,418,39.9,233100.0,1564.0,6725,4552,562,0,301,1403,1292,0,34.76078,-117.33795,Helendale,San Bernardino
92345,20023.0,51712.0,16685,33.1,254200.0,1457.0,83731,65591,3157,734,1722,49537,5321,112,34.36415,-117.30984,Hesperia,San Bernardino
92346,28596.0,67823.0,8636,35.1,348700.0,2076.0,63395,33553,7648,736,4989,31059,5524,418,34.126290000000004,-117.1792,Highland,San Bernardino
92347,12829.0,38140.0,208,52.1,,842.0,683,533,0,0,5,181,65,0,34.95003,-117.25802,Hinkley,San Bernardino
92359,25766.0,58250.0,982,35.8,317400.0,1672.0,9779,6432,428,31,495,4030,1286,42,34.08296,-117.07026,Mentone,San Bernardino
92376,19598.0,59416.0,13854,30.0,309700.0,1674.0,86719,47065,9389,496,1851,68071,10198,420,34.11053,-117.37997,Rialto,San Bernardino
92399,32321.0,73647.0,4678,37.5,348700.0,1927.0,55070,43548,612,327,2416,19021,4139,50,34.04469,-117.00399999999999,Yucaipa,San Bernardino
92405,16720.0,41631.0,8645,29.8,256000.0,1488.0,30782,16816,3270,166,977,20387,1965,164,34.14578,-117.30225,San Bernardino,San Bernardino
92706,29143.0,80051.0,4305,35.2,642100.0,2545.0,39080,14006,596,212,3973,27136,4706,880,33.766020000000005,-117.88174,Santa Ana,Orange
92808,56502.0,130818.0,863,44.5,753600.0,2864.0,21787,13850,651,3,4870,3390,1740,130,33.85623,-117.74018000000001,Anaheim,Orange
92882,30138.0,85819.0,6680,34.1,483800.0,2393.0,74742,42848,3857,347,6240,38594,6294,370,33.86367,-117.59988999999999,Corona,Riverside
92887,63593.0,139750.0,583,46.7,875800.0,3509.0,19362,13694,403,9,3795,3118,918,29,33.88727,-117.73388999999999,Yorba Linda,Orange
92327,15666.0,,361,40.3,102000.0,,835,625,159,36,0,127,15,0,34.86632,-116.84347,Daggett,San Bernardino
92307,28007.0,59084.0,6438,36.7,277200.0,1631.0,38848,28114,3590,363,1071,14772,3764,195,34.59078,-117.14126999999999,Apple Valley,San Bernardino
92003,43732.0,89201.0,520,45.6,679300.0,2628.0,5123,4248,103,0,48,1558,523,24,33.287009999999995,-117.19977,Bonsall,San Diego
